id,gia,tieu_de,mo_ta_chi_tiet,thuong_hieu,dong_xe,nam_dang_ky,so_km_da_di,tinh_trang,loai_xe,dung_tich_xe,xuat_xu
48,25.8,Future LED 125 đk 11 2021 đen nhám bánh mâm BSTP,Đổi xe khác nên mình cần bán lại 1 xe máy Honda Future LED 125 đk 11 2021 đen nhám bánh mâm BSTP Xe dán keo nguyên con nên tháo keo là mới keng xe chính chủ bà xã đứng tên và sử dụng chạy ít chủ yếu đi làm văn phòng hằng ngày ODO đúng 15000 km máy móc nguyên zin bảo trì bảo dưỡng thay nhớt định kỳ đầy đủ Xe công chứng mua bán sang tên hay ủy quyền đều được Giá bán 25 triệu 800 ngàn bác nào có ý định trả giá dưới 25 triệu xin vui lòng ko liên hệ để tránh mất thời gian 2 bên ạ e xin cảm ơn Liên hệ chủ xe Quyên 0chin0chin444chin0hai Xem xe tại Nhà đinh tiên hoàng Q1,Honda,Future,2021.0,15000.0,Đã sử dụng,Xe số,100 - 175 cc,Đang cập nhật
49,140.0,Bán Sh 300i 2017,Sh 3 xị chưa bao giờ rẻ như lúc này SH300i nhập Ý date 2017 Biển số thành phố chính chủ Máy móc êm ái Full Pxl Ecu Ate V4 3x Hp Hỗ trợ anh em về zin không thêm phí Đồ chơi cơ bản Phuộc Ohlins 818 chính hãng Cặp đĩa Braking chính hãng Cùm Domino xịn Nồi sau Malossi Set pô cổ titan móc theo bài Dá chỉ 12x lấy phuộc thêm dùm em 13đ Bảo hành cục máy cho anh em an tâm sử dụng Bao quay đầu cho anh em trãi nghiệm Hỗ trợ góp trực tiếp với shop 50 60 nhận xe Hỗ trợ góp qua ngân hàng quẹt thẻ tín dụng Đc 293 Vườn Lài Tân Phú 368Moto SH125i SH150i sh350,Honda,SH,2017.0,999.0,Đã sử dụng,Tay ga,Trên 175 cc,Nước khác
50,12.0,AB 2017 màu hot đẹp,Mình trải nghiệm xong chia lại cho ai đam mê xe ab đời 2017 Xe màu xám tím ca may đẹp máy êm đã thay nhớt đầy đủ Xe bán 12 triệu giá này đọc kỹ giúp rồi dt cho mình Mình chỉ bán cho người sử dụng anh em mua bán xe xin bỏ qua,Honda,Air Blade,2017.0,56688.0,Đã sử dụng,Tay ga,100 - 175 cc,Đang cập nhật
51,25.99,Yamaha Fino 125 Sporty chính chủ,Xe Yamaha Mio Fino 125 nhập Indo chính chủ odo 4 900km Xem xe tại 183 10 Bùi Viện Phường Phạm Ngũ Lão Quận 1 TPHCM Xem xe liên hệ gặp Minh,Yamaha,Mio,2022.0,4900.0,Đã sử dụng,Tay ga,100 - 175 cc,Nhật Bản
52,120.0,Bán xe cb500x,Honda cb500x 2020 xe dàn ngoài đẹp keng ốc tán zin keng đồ zin theo xe Xe lên đồ chơi đồ zin còn pô zin và phuộc zin trợ lực YSS phuộc sau YSS chống đổ khung Thùng nhôm sau Baga sau Cặp đèn trợ sáng cặp đèn trong hình k có Kinh gió Lọc gió K N xe máy móc bảo dưỡng đầy đủ chuẩn zin mạnh êm vừa bảo dưỡng thay nhớt và thay nước mát xe bs tỉnh Tp Bà rịa sang tên thuế 1 chinh chủ ủy quyền hay mua bán sang tên nhanh chóng Giá 120 triệu,Honda,Dòng khác,2020.0,2.0,Đã sử dụng,Tay côn/Moto,Trên 175 cc,Nhật Bản
53,32.0,Vario 150 đen nhám,nợ nần bán xe m đang đứng uỷ quyền mua bán sang tên hợp lệ xe về đổ xăng là chạy,Honda,Vario,2019.0,27000.0,Đã sử dụng,Tay ga,100 - 175 cc,Thái Lan
54,36.0,cần bán,sửa dụng 2 tháng trầy vài vết nhẹ xe còn mới,Honda,MSX 125,2023.0,3263.0,Đã sử dụng,Tay ga,100 - 175 cc,Việt Nam
55,40.0,ab 125 2021,dky lan đầu 2024 odo chưa đến 1000km ạ xem xe trực tiếp tại 19a Cống Quỳnh lh em,Honda,Air Blade,2024.0,1000.0,Đã sử dụng,Tay ga,100 - 175 cc,Việt Nam
56,6.8,xe wave rsx 2011,Mua xe mới nên dư xe wave nhà đi Mới thay nhớt bố thắng cổ pô Viết giấy bao tranh chấp giao cà vẹt,Honda,Wave,2011.0,23015.0,Đã sử dụng,Xe số,100 - 175 cc,Việt Nam
57,8.5,Xe chính chủ,Nhà dư xe nên cần thanh lý sang tên liền tay Xem xe tại quận 1 tphcm,Honda,Lead,2010.0,92000.0,Đã sử dụng,Tay ga,100 - 175 cc,Việt Nam
58,120.0,Bán Royal Enfield 650 interceptor,Hết đam mê ra đi em Royal Enfield Interceptor 650 đk 2019 chính chủ biển HN Odo xe 11500km Tặng kèm cặp thùng civi chính hãng cặp pô dusland chính hãng nốt Giá cả còn thương lượng,Royal Enfield,Interceptor 650,2019.0,11500.0,Đã sử dụng,Tay côn/Moto,Trên 175 cc,Đang cập nhật
59,12.9,Air Blade zin,Xe zin nguyên bản căng đét Biển SG Máy zin qúa chất chạy im ru như xe điện Xe Cầm tl 9chủ kí khó bao tranh chấp,Honda,Air Blade,2010.0,9999.0,Đã sử dụng,Tay ga,100 - 175 cc,Nhật Bản
60,17.0,wave alpha 2024,cần bán wave alpha 2024 kiểng nhẹ bstp 9c mới đi được 8000km giá 17tr500k,Hãng khác,Dòng khác,2024.0,8000.0,Đã sử dụng,Xe số,50 - 100 cc,Việt Nam
61,72.0,shvn2019 150 ABS,Như tiêu đề mình cần bán nhanh chính chủ bstp dễ nhìn 35036 vừa dán decal đổi màu xám lampo dàn chân sơn sporty mới đẹp máy móc êm ru bảo dưỡng định kỳ cảm ơn chotot duyệt tin,Honda,SH,2019.0,35000.0,Đã sử dụng,Tay ga,100 - 175 cc,Việt Nam
62,106.0,Bán xe Honda Rebel 250cc năm 1986,Bán xe Honda Rebel 250cc năm 1986 Xe nhà đang đi giờ em muốn đổi xe khác nên bán lại cho anh em nào yêu thích dòng xe này Dung tích 250cc Năm sản xuất 1986 Đồ zin 95 Tình trạng Hoàn hảo nguyên bản xe đẹp Giấy tờ Hải quan chính ngạch Xe chính chủ mua bán sang tên ngay luôn Biển số TP HCM Tình trạng xe Xe đang chạy ngon lành mượt mà Bảo dưỡng định kỳ Không cần sửa chữa mua về chỉ đổ xăng vào chạy Xe kiểu dáng huyền thoại phong cách cổ điển Động cơ mạnh mẽ bền bỉ Phù hợp cho những ai yêu thích dòng xe mô tô cổ Giá bán 106 triệu Anh em thiện chí mua liên hệ trực tiếp với em là chính chủ xem xe tại Quận 1 Cảm ơn Chợ Tốt đã đăng tin,Honda,Rebel,1986.0,50000.0,Đã sử dụng,Tay côn/Moto,Trên 175 cc,Đang cập nhật
63,39.0,Honda Airblade 4Val 2023,Hi mọi người Do mình muốn đổi lên xe to xác hơn do mình to con đi xe AB nhỏ này thấy không thoải mái Nên cần bán chiếc xe này Xe mình mua mới tại head Phát Tiến CMT8 vào T7 2023 BSTP Q10 chính chủ mình đứng tên Sang tên ủy quyền đều được Odoo tầm 11 ngàn km có tăng hằng ngày do là xe đi làm Tình trạng xe có dán full keo có trầy do mình gửi trong bãi xe khá hẹp Về lột ra dán lại hết là như mới Bảo dưỡng tầm 1500km 2000km là mình mang vô hãng thay nhớt máy nhớt láp Vừa thay luôn lọc gió và bugi bảo dưỡng đầy đủ và đúng theo lịch Phần khác mình có lên thêm 1 số món để xe đi thoải mái an toàn hơn hơn Đã thay cặp lốp pirelli rosso sport vừa đi gần 1000km Gù SH150i Cụm thắng RCB Mão AB160 lốt cốp 3D cảm biến bật tắt đèn xe tự động Đồ zin còn đủ hết Nay muốn bán hoặc giao lưu PCX125 150 bù trừ hợp lý Mọi thông tin mình đã ghi đủ mọi người cần thêm thông tin gì thì cứ sms zalo mình nhé Cảm ơn cả nhà,Honda,Air Blade,2023.0,11000.0,Đã sử dụng,Tay ga,100 - 175 cc,Việt Nam
65,26.0,Xe tay ga Janus màu xanh đen 125cc 2024 mới 95,xe chưa hư hỏng bao giờ mua tại hãng tháng 7 2024 xem xe liên hệ em nhé ạ,Yamaha,Janus,2024.0,2400.0,Đã sử dụng,Tay ga,100 - 175 cc,Đang cập nhật
66,9.2,Cúp Nhật 81 đèn tròn 50 Cc mới keng,Nhà ít dùng e giao lưu con cúp Nhật 81 50 Cc cực đẹp biển số đẹp Số lùi như tiến tiền như núi Xe tâm huyết nhà e Cúp Nhật 81 đời cao chót vót máy cực chất miễn bàn luôn thì thầm mùa xuân bao Ae êm ru ru Xe giấy tờ đầy đủ 50 Cc đi ko cần bằng lái Lưu Ý giá tốt nên ko bớt Ae mua dc hả gọi khỏi mất thời gian Cảm ơn miễn trả lời tin nhắn,Honda,Cub,1998.0,12000.0,Đã sử dụng,Xe số,Dưới 50 cc,Nhật Bản
68,7.3,Cần bán xe Sirius,Mình có chiếc xe cũ cần bán Xe biển tỉnh 86 xe chính chủ mẹ mình đứng tên ai cần liên hệ nhé giá bán còn bớt lọc,Yamaha,Sirius,2010.0,40000.0,Đã sử dụng,Xe số,100 - 175 cc,Việt Nam
69,16.555555,Wave rsx 110,Xe còn rất mới ko cấn ko trầy xước thắng đùm chính chủ biển số sài gòn,Honda,Wave,2023.0,5062.0,Đã sử dụng,Xe số,100 - 175 cc,Việt Nam
70,3.0,bán xe Có cà vẹt chính chủ,Xe chạy bình thường không hỏng Hóc xe cũ Ưng ý thì liên hệ Sđt nhắn tin trực tiếp qua chợ tốt,SYM,Attila,2007.0,10000.0,Đã sử dụng,Tay ga,50 - 100 cc,Việt Nam
71,28.0,cần bán xe,Mọi thông tin thắc mắc xin vui lòng liên hệ giao xe tận tay nếu cần giấy tờ đầy đủ,Hãng khác,Dòng khác,2022.0,30.0,Đã sử dụng,Tay côn/Moto,50 - 100 cc,Việt Nam
